id_lieu;annee_tournage;type_tournage;nom_tournage;nom_realisateur;nom_producteur;adresse_lieu;ardt_lieu;date_debut;date_fin;coord_x;coord_y;geo_shape;geo_point_2d;actors;runtime;Genre;Metascore;Released;Rating;nb_votes
2019-1225;2019;Série TV;Oogappels;Will Koopman;HANNA FILMS;passerelle léopold sédar senghor, 75007 paris;75007;2019-09-27;2019-09-27;2.32439595;48.86140452;"{""type"": ""Point"", ""coordinates"": [2.32439594935346, 48.86140451609271]}";48.8614045161,2.32439594935;Bracha van Doesburgh, Ramsey Nasr, Malou Gorter, Jeroen Spitzenberger;50 min;Drama;N/A;24 Jan 2019;7.9;333
2019-670;2019;Série TV;BARON NOIR;ANTOINE CHEVROLLIER;KWAÏ;avenue gabriel, 75008 paris;75008;2019-06-27;2019-06-27;2.31499102;48.86845695;"{""type"": ""Point"", ""coordinates"": [2.314991015553988, 48.86845694427678]}";48.8684569443,2.31499101555;Kad Merad, Anna Mouglalis, Astrid Whettnall, Lubna Gourion;55 min;Drama, Thriller;N/A;08 Feb 2016;7.8;1,188
2019-1033;2019;Long métrage;Les Meilleures;Marion Desseigne Ravel;31 Juin Films;rue bisson, 75020 paris;75020;2019-08-31;2019-09-01;2.38211589;48.87100036;"{""type"": ""Point"", ""coordinates"": [2.382115892856906, 48.871000357905835]}";48.8710003579,2.38211589286;Lina El Arabi, Mahia Zrouki, Tasnim Jamlaoui;N/A;N/A;N/A;N/A;N/A;N/A
2019-1235;2019;Série TV;ASTRID ET RAPHAËLLE;ELSA BENNETT / HIPPOLYTE DARD / FREDERIC BERTHE;JLA PRODUCTIONS;rue lamarck, 75018 paris;75018;2019-10-03;2019-10-04;2.33974924;48.88972517;"{""type"": ""Point"", ""coordinates"": [2.339749240903482, 48.88972516708163]}";48.8897251671,2.3397492409;Sara Mortensen, Lola Dewaere, Benoît Michel, Husky Kihal;N/A;Crime;N/A;14 Mar 2019;7.8;183
2019-1256;2019;Long métrage;Gott du kannst ein Arsch sein;Andre Erkau;Cactus Films;rue du chevalier de la barre, 75018 paris;75018;2019-10-02;2019-10-02;2.34327814;48.88726404;"{""type"": ""Point"", ""coordinates"": [2.343278142124457, 48.88726404330796]}";48.8872640433,2.34327814212;Sinje Irslinger, Max Hubacher, Til Schweiger, Heike Makatsch;98 min;Comedy, Drama, Romance;N/A;01 Oct 2020;5.0;151
2019-14;2019;Série Web;MARIANNE;Samuel BODIN;Empreinte Digitale Marianne;17 avenue d'iéna, 75116 paris;75116;2019-01-08;2019-01-08;2.29448064;48.86614792;"{""type"": ""Point"", ""coordinates"": [2.294480643649885, 48.86614791608997]}";48.8661479161,2.29448064365;Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou;50 min;Drama, Horror;N/A;13 Sep 2019;7.5;12,166
2019-938;2019;Long métrage;T'as Pécho?;Adeline PICAULT;SCARLETT PRODUCTION;59 rue des peupliers, 75013 paris;75013;2019-08-05;2019-08-06;2.35266017;48.82130866;"{""type"": ""Point"", ""coordinates"": [2.352660172665198, 48.821308663934495]}";48.8213086639,2.35266017267;;;;;;;
2019-950;2019;Série TV;Validé;Franck GASTAMBIDE;Mandarin Télévision;avenue de la république, 75011 paris;75011;2019-08-07;2019-08-07;2.37569387;48.86503778;"{""type"": ""Point"", ""coordinates"": [2.37569387056681, 48.86503777751752]}";48.8650377775,2.37569387057;Hatik, Brahim Bouhlel, Saïdou Camara, Sabrina Ouazani;N/A;N/A;N/A;20 Mar 2020;7.4;386
2019-986;2019;Long métrage;Par-dessus l'épaule de Jonas;Jérôme Bonnell;DIAPHANA FILMS;rue de wattignies, 75012 paris;75012;2019-08-28;2019-08-29;2.39785325;48.83542621;"{""type"": ""Point"", ""coordinates"": [2.397853253783704, 48.83542620885179]}";48.8354262089,2.39785325378;;;;;;;
2019-30;2019;Série TV;FAMILY BUSINESS S1;IGOR GOTESMAN;LES FILMS DU KIOSQUE;5 rue charles-françois dupuis, 75003 paris;75003;2019-01-10;2019-01-10;2.36320402;48.86529777;"{""type"": ""Point"", ""coordinates"": [2.363204024297297, 48.86529777026356]}";48.8652977703,2.3632040243;LisaRaye McCoy, Antoine Holmes Sr., Spencer Holmes, Valarie Pettiford;50 min;Action, Crime, Drama;N/A;13 Nov 2018;6.2;401
